Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,61,-0.3833,6.127,0.09137,5.135007,5.294055,5.463893,5.764934,6.127,6.521295,6.906823,7.152759,7.405039
2,61.5,-0.3833,6.2511,0.09136,5.239112,5.401368,5.574631,5.881739,6.2511,6.653335,7.046623,7.297508,7.554862
2,62,-0.3833,6.3738,0.09135,5.342048,5.507474,5.684122,5.997229,6.3738,6.783883,7.184842,7.440617,7.702988
2,62.5,-0.3833,6.4948,0.09133,5.443665,5.612202,5.792171,6.111161,6.4948,6.912573,7.321042,7.581605,7.848883
2,63,-0.3833,6.6144,0.09131,5.544116,5.715727,5.898977,6.223778,6.6144,7.039769,7.455657,7.720949,7.993075
2,63.5,-0.3833,6.7328,0.09129,5.643569,5.818222,6.004718,6.335269,6.7328,7.165684,7.588912,7.858882,8.135803
2,64,-0.3833,6.8501,0.09126,5.742214,5.919864,6.109558,6.445771,6.8501,7.290375,7.720817,7.995382,8.277013
2,64.5,-0.3833,6.9662,0.09123,5.839864,6.020479,6.213336,6.555148,6.9662,7.413783,7.851358,8.130467,8.416754
2,65,-0.3833,7.0812,0.09119,5.936714,6.120247,6.316217,6.663537,7.0812,7.535964,7.980543,8.264111,8.554964
2,65.5,-0.3833,7.195,0.09115,6.032572,6.218991,6.418038,6.770804,7.195,7.656861,8.10836,8.396335,8.691701
2,66,-0.3833,7.3076,0.0911,6.127553,6.316808,6.518879,6.876992,7.3076,7.77642,8.234702,8.526991,8.826775
2,66.5,-0.3833,7.4189,0.09106,6.221346,6.413417,6.618491,6.981917,7.4189,7.894642,8.359674,8.656259,8.960443
2,67,-0.3833,7.5288,0.09101,6.314096,6.508928,6.716946,7.085578,7.5288,8.011313,8.482941,8.783722,9.092201
2,67.5,-0.3833,7.6375,0.09096,6.405857,6.603417,6.814342,7.188115,7.6375,8.126699,8.604839,8.909763,9.222481
2,68,-0.3833,7.7448,0.0909,6.496582,6.696814,6.910586,7.28939,7.7448,8.24053,8.725027,9.033992,9.350843
2,68.5,-0.3833,7.8509,0.09085,6.586198,6.789085,7.005688,7.389495,7.8509,8.353133,8.843963,9.156954,9.477926
2,69,-0.3833,7.9559,0.09079,6.675032,6.880527,7.099906,7.48862,7.9559,8.464499,8.961523,9.27845,9.603447
2,69.5,-0.3833,8.0599,0.09074,6.762921,6.971011,7.193158,7.586761,8.0599,8.574851,9.07806,9.398919,9.727939
2,70,-0.3833,8.163,0.09068,6.850199,7.060842,7.285707,7.684113,8.163,8.684179,9.193444,9.518151,9.851105
2,70.5,-0.3833,8.2651,0.09062,6.936657,7.149824,7.377377,7.780531,8.2651,8.792433,9.307683,9.636192,9.973033
2,71,-0.3833,8.3666,0.09056,7.022631,7.238303,7.468525,7.876392,8.3666,8.90004,9.421228,9.753509,10.09421
2,71.5,-0.3833,8.4676,0.0905,7.108205,7.326367,7.559241,7.971789,8.4676,9.007106,9.534193,9.870218,10.21474
2,72,-0.3833,8.5679,0.09043,7.193344,7.413956,7.649438,8.066588,8.5679,9.113356,9.646221,9.985913,10.33418
2,72.5,-0.3833,8.6674,0.09037,7.277698,7.500756,7.738841,8.160589,8.6674,9.218809,9.757458,10.10082,10.45285
